dutyName,dutyTel3,hpid,hv1,hv10,hv11,hv12,hv2,hv3,hv4,hv5,hv6,hv7,hv8,hv9,hvamyn,hvangioayn,hvcc,hvccc,hvctayn,hvec,hvgc,hvicc,hvidate,hvmriayn,hvncc,hvoc,hvventiayn,phpid,rnum
의료법인강릉동인병원,033-650-6105,A2200005,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,18,68,0,20200617123940,Y,0,5,Y,A2200005,1
강원도강릉의료원,033-610-1453,A2200011,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,5,36,0,20200617124002,Y,0,2,Y,A2200011,2
강릉아산병원,033-610-3333,A2200008,0,Y,Y,0,0,2,0,Y,1,Y,0,0,Y,N,0,0,Y,0,90,0,20200617124001,Y,2,4,Y,A2200008,3
근로복지공단동해병원,033-530-3119,A2200038,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,9,59,5,20200617124000,Y,0,2,Y,A2200038,4
의료법인동해동인병원,033-530-0129,A2200003,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,9,27,7,20200617124143,Y,0,0,Y,A2200003,5
강원도삼척의료원,033-570-7431,A2200007,0,0,Y,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,17,18,1,20200617124002,Y,0,2,Y,A2200007,6
강원도속초의료원,033-630-6036,A2200012,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,19,79,7,20200617124001,Y,0,3,Y,A2200012,7
의료법인보광의료재단속초보광병원,033-639-8989,A2200046,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,14,36,5,20200617124150,Y,0,4,Y,A2200046,8
의료법인 성심의료재단 양구성심병원,033-480-8816,A2200037,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,5,29,0,20200617123803,N1,0,0,Y,A2200037,9
강원도영월의료원,033-370-9129,A2200002,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,52,4,20200617124002,Y,0,1,Y,A2200002,10
강원도원주의료원,033-760-4701,A2200015,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,5,131,1,20200617124004,Y,0,2,Y,A2200015,11
의료법인성지의료재단성지병원,033-760-3119,A2200024,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,5,89,0,20200617123858,Y,0,6,Y,A2200024,12
연세대학교원주세브란스기독병원,033-741-0119,A2200001,0,Y,Y,0,1,3,0,Y,2,Y,0,7,Y,N,0,0,Y,-3,65,0,20200617124000,Y,7,1,Y,A2200001,13
근로복지공단정선병원,033-560-7119,A2200048,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,5,29,0,20200617123800,N1,0,0,Y,A2200048,14
철원병원,033-450-3300,A2201730,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,9,29,0,20200617124001,Y,0,2,Y,A2201730,15
강원대학교병원,033-258-2245,A2200009,0,Y,Y,0,-3,0,0,Y,0,Y,0,0,Y,N,0,0,Y,10,156,0,20200617123917,Y,10,7,Y,A2200009,16
한림대학교춘천성심병원,033-240-5219,A2200013,0,Y,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,14,40,0,20200617124123,Y,0,7,Y,A2200013,17
근로복지공단태백병원,033-580-3119,A2200004,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,8,65,13,20200617123900,Y,0,2,Y,A2200004,18
평창군보건의료원,033-330-4812,E2200026,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,7,0,0,20200617123811,N1,0,0,Y,E2200026,19
홍천아산병원,033-430-5119,A2200014,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,9,20,2,20200617124003,Y,0,2,Y,A2200014,20
화천군보건의료원,033-440-2880,E2200025,0,0,0,0,0,0,0,0,0,0,0,0,Y,N,0,0,N1,8,0,0,20200617123811,N1,0,0,Y,E2200025,21
횡성대성병원,033-345-1191,A2200016,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,31,0,20200617124121,Y,0,0,Y,A2200016,22
의료법인명지의료재단명지병원,031-810-7119,A2100042,0,Y,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,6,98,5,20200617123501,Y,3,2,Y,A2100042,23
동국대학교일산불교병원,031-961-7777,A2100047,0,Y,Y,0,8,1,0,Y,0,Y,0,0,Y,N,0,0,Y,16,163,0,20200617123933,Y,19,5,Y,A2100047,24
국민건강보험공단일산병원,1577-0013,A2100033,0,Y,Y,0,1,2,0,Y,0,Y,0,0,Y,N,0,0,Y,9,335,0,20200617124004,Y,1,2,Y,A2100033,25
국립암센터,031-920-0119,A2100049,0,0,N,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,1,3,13,20200617124000,Y,0,2,Y,A2100049,26
인제대학교일산백병원,031-910-7119,A2100038,0,Y,Y,0,0,4,0,Y,0,Y,0,0,Y,N,0,1,Y,15,130,0,20200617123910,Y,1,1,Y,A2100038,27
광명성애병원,02-2680-7115,A2100007,0,Y,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,8,90,8,20200617123853,Y,0,3,Y,A2100007,28
참조은병원,031-881-9119,A2100155,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,13,56,2,20200617123930,Y,0,4,Y,A2100155,29
한양대학교구리병원,NA,A2100039,0,Y,Y,0,2,0,0,Y,0,Y,0,0,Y,N,0,0,Y,12,59,0,20200617124001,Y,5,2,Y,A2100039,30
효산의료재단지샘병원,031-389-3119,A2100054,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,17,78,5,20200617123952,Y,0,4,Y,A2100054,31
원광대학교산본병원,031-390-2345,A2100048,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,11,81,6,20200617123818,Y,0,2,Y,A2100048,32
의료법인우리의료재단김포우리병원,031-999-1119,A2100053,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,15,84,7,20200617124102,Y,0,6,Y,A2100053,33
의료법인인봉의료재단뉴고려병원,031-980-9119,A2100006,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,14,72,0,20200617123833,Y,0,1,Y,A2100006,34
남양주한양병원,031-510-0119,A2100041,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,17,59,14,20200617123838,Y,0,5,Y,A2100041,35
남양주나눔병원,031-570-1118,A2100044,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,9,28,0,20200617124017,Y,0,5,Y,A2100044,36
현대병원,031-574-0114,A2100037,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,15,42,1,20200617123641,Y,0,6,Y,A2100037,37
가톨릭대학교부천성모병원,032-340-2100,A2100052,0,Y,Y,0,2,1,0,Y,0,Y,0,0,Y,N,0,0,Y,6,160,0,20200617124110,Y,3,4,Y,A2100052,38
순천향대학교부속부천병원,032-621-5117,A2100005,0,Y,Y,0,1,4,0,Y,0,Y,0,0,Y,N,0,0,Y,9,199,0,20200617124032,Y,1,11,Y,A2100005,39
의료법인대인의료재단다니엘종합병원,032-670-0119,A2100050,0,0,0,0,2,1,0,Y,0,0,0,0,Y,N,0,0,Y,10,64,0,20200617124003,Y,0,5,Y,A2100050,40
의료법인혜원의료재단세종병원,032-340-1119,A2100055,0,Y,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,13,87,2,20200617124108,Y,0,3,Y,A2100055,41
분당서울대학교병원,031-787-3119,A2100001,0,0,Y,0,2,5,0,Y,1,Y,0,0,Y,N,0,0,Y,-36,137,0,20200617124000,Y,6,7,Y,A2100001,42
국군수도병원,031-725-6119,A2100258,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,10,113,23,20200617123609,Y,0,4,Y,A2100258,43
대진의료재단분당제생병원,031-779-0119,A2100025,0,Y,Y,0,3,5,0,Y,0,Y,0,0,Y,N,0,0,Y,8,276,0,20200617123805,Y,0,6,Y,A2100025,44
차의과학대학교분당차병원,031-780-5840,A2100030,0,Y,Y,0,0,0,0,Y,1,Y,0,0,Y,N,0,0,Y,7,161,0,20200617124159,Y,15,9,Y,A2100030,45
순천의료재단정병원,031-750-6003,A2100016,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,5,72,3,20200617123358,Y,0,4,Y,A2100016,46
성남중앙병원,031-799-5366,A2100011,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,7,102,9,20200617123909,Y,0,4,Y,A2100011,47
의료법인명인의료재단화홍병원,031-8021-6829,A2117135,0,Y,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,11,319,12,20200617124001,Y,0,5,Y,A2117135,48
아주대학교병원,031-219-7700,A2100002,0,Y,Y,0,1,4,0,Y,2,Y,0,15,Y,N,0,1,Y,0,211,0,20200617124305,Y,11,4,Y,A2100002,49
경기도의료원수원병원,NA,A2100032,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,16,66,9,20200617123002,Y,0,3,Y,A2100032,50
의료법인녹산의료재단동수원병원,031-210-0119,A2100009,0,0,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,15,98,6,20200617123732,Y,0,5,Y,A2100009,51
가톨릭대학교성빈센트병원,031-249-7364,A2100012,0,Y,Y,0,0,2,0,Y,3,Y,0,0,Y,N,0,3,Y,-4,174,0,20200617124110,Y,4,10,Y,A2100012,52
의료법인석경의료재단센트럴병원,031-8041-3019,A2100027,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,19,72,3,20200617123617,Y,0,3,Y,A2100027,53
의료법인녹향의료재단신천연합병원,031-310-6662,A2100013,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,9,76,4,20200617124332,Y,0,2,Y,A2100013,54
의료법인남촌의료재단시흥시화병원,031-8041-5819,A2100008,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,9,24,6,20200617124133,Y,0,2,Y,A2100008,55
대아의료재단한도병원,031-8040-1129,A2100017,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,17,74,-1,20200617123527,Y,0,2,Y,A2100017,56
단원병원,031-8040-5911,A2100021,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,12,27,3,20200617123805,Y,0,2,Y,A2100021,57
고려대학교의과대학부속안산병원,031-412-5381,A2100003,0,Y,Y,0,1,1,0,Y,0,Y,0,0,Y,N,0,0,Y,7,137,3,20200617123901,Y,7,3,Y,A2100003,58
근로복지공단안산병원,031-500-1119,A2100014,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,7,110,12,20200617123900,Y,0,3,Y,A2100014,59
경기도의료원안성병원,NA,A2100045,0,0,0,0,0,0,0,0,0,0,0,0,Y,N,0,0,N1,14,163,13,20200617124002,N1,0,5,Y,A2100045,60
안성성모병원,031-675-8275,A2100305,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,7,81,1,20200617124134,Y,0,2,Y,A2100305,61
한림대학교성심병원,031-380-4130,A2100004,0,Y,Y,0,1,1,0,Y,0,Y,0,0,Y,N,1,2,Y,11,124,0,20200617123709,Y,7,15,Y,A2100004,62
효산의료재단안양샘병원,031-467-9119,A2100015,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,15,64,-1,20200617123730,Y,0,3,Y,A2100015,63
양주예쓰병원,031-839-1119,A2100134,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,9,74,0,20200617123545,Y,0,2,Y,A2100134,64
양평병원,031-770-5129,A2100089,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,9,46,0,20200617124002,Y,0,3,Y,A2100089,65
세종여주병원,031-880-7754,A2100194,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,7,66,0,20200617123929,Y,0,2,Y,A2100194,66
연천군보건의료원,031-839-4119,E2100187,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,9,49,0,20200617124124,N1,0,2,Y,E2100187,67
오산한국병원,031-378-5119,A2100024,0,Y,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,19,125,8,20200617124037,Y,0,5,Y,A2100024,68
조은오산병원,031-373-8119,A2114449,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,112,0,20200617123549,Y,0,4,N1,A2114449,69
연세대학교의과대학용인세브란스병원,031-5189-9001,A2100020,0,Y,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,15,77,5,20200617123942,Y,5,0,Y,A2100020,70
강남병원,031-300-0129,A2100029,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,16,145,0,20200617124119,Y,0,2,Y,A2100029,71
(의)효심의료재단용인서울병원,031-322-0001,A2100122,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,9,143,0,20200617124047,Y,0,3,Y,A2100122,72
(의)영문의료재단다보스병원,031-8021-2130,A2100019,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,16,74,9,20200617124116,Y,0,6,Y,A2100019,73
의료법인영동의료재단의정부백병원,031-842-1211,A2100034,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,72,3,20200617124336,Y,0,3,Y,A2100034,74
가톨릭대학교의정부성모병원,031-820-3300,A2100040,0,Y,Y,0,0,0,0,Y,0,Y,0,6,Y,N,0,0,Y,13,185,-1,20200617124110,Y,8,6,Y,A2100040,75
추병원,031-845-8313,A2100150,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,10,74,7,20200617123707,Y,0,3,Y,A2100150,76
경기도의료원의정부병원,031-828-5119,A2100043,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,60,6,20200617124002,Y,0,3,Y,A2100043,77
경기도의료원이천병원,031-630-4333,A2100193,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,18,57,5,20200617123902,Y,0,4,Y,A2100193,78
경기도의료원파주병원,031-940-9129,A2100035,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,18,117,8,20200617123902,Y,0,3,Y,A2100035,79
의료법인갈렌의료재단박병원,070-4832-4733,A2100309,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,8,42,1,20200617123933,Y,0,4,Y,A2100309,80
의료법인백송의료재단굿모닝병원,031-5182-7582,A2100028,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,22,39,6,20200617124131,Y,0,6,Y,A2100028,81
의료법인박애의료재단박애병원,031-650-9219,A2100022,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,12,97,8,20200617123937,Y,0,5,Y,A2100022,82
의료법인양진의료재단평택성모병원,070-5012-3549,A2113246,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,16,128,5,20200617124104,Y,0,0,Y,A2113246,83
의료법인일심의료재단우리병원,031-542-0222,A2100036,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,8,77,9,20200617123949,Y,0,2,Y,A2100036,84
경기도의료원포천병원,031-539-9119,A2100031,0,0,Y,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,20,125,10,20200617124002,Y,0,4,Y,A2100031,85
